date,location,waste_category,quantity_kg,people_count,meals_served,event_flag,previous_waste_kg,disposal_method
2025-01-02,Food Court,Food,37.17,620,601,false,,Composting
2025-01-02,Food Court,Plastic,13.82,620,601,false,,Recycling
2025-01-02,Food Court,Paper,6.66,620,601,false,,Recycling
2025-01-02,Food Court,Glass,3.54,620,601,false,,Recycling
2025-01-02,Food Court,Metal,1.35,620,601,false,,Recycling
2025-01-02,Food Court,E-Waste,0.2,620,601,false,,Authorized Recycler
2025-01-02,Food Court,Other,5.03,620,601,false,,Recycling
2025-01-02,Academic Block,Food,5.47,1183,1056,false,,Composting
2025-01-02,Academic Block,Plastic,6.54,1183,1056,false,,Recycling
2025-01-02,Academic Block,Paper,13.25,1183,1056,false,,Recycling
2025-01-02,Academic Block,Glass,0.93,1183,1056,false,,Recycling
2025-01-02,Academic Block,Metal,0.94,1183,1056,false,,Recycling
2025-01-02,Academic Block,E-Waste,1.1,1183,1056,false,,Authorized Recycler
2025-01-02,Academic Block,Other,4.5,1183,1056,false,,Recycling
2025-01-02,Administration,Food,2.95,146,137,false,,Composting
2025-01-02,Administration,Plastic,3.3,146,137,false,,Recycling
2025-01-02,Administration,Paper,9.27,146,137,false,,Recycling
2025-01-02,Administration,Glass,0.47,146,137,false,,Recycling
2025-01-02,Administration,Metal,0.82,146,137,false,,Recycling
2025-01-02,Administration,E-Waste,0.77,146,137,false,,Authorized Recycler
2025-01-02,Administration,Other,2.72,146,137,false,,Recycling
2025-01-03,Main Canteen,Food,47.94,942,949,false,,Composting
2025-01-03,Main Canteen,Plastic,11.61,942,949,false,,Recycling
2025-01-03,Main Canteen,Paper,8.66,942,949,false,,Recycling
2025-01-03,Main Canteen,Glass,3.12,942,949,false,,Recycling
2025-01-03,Main Canteen,Metal,1.85,942,949,false,,Recycling
2025-01-03,Main Canteen,E-Waste,0.55,942,949,false,,Authorized Recycler
2025-01-03,Main Canteen,Other,5.83,942,949,false,,Recycling
2025-01-03,Hostel A,Food,28.64,420,380,false,,Composting
2025-01-03,Hostel A,Plastic,9.6,420,380,false,,Recycling
2025-01-03,Hostel A,Paper,4.63,420,380,false,,Recycling
2025-01-03,Hostel A,Glass,2.07,420,380,false,,Recycling
2025-01-03,Hostel A,Metal,1.13,420,380,false,,Recycling
2025-01-03,Hostel A,E-Waste,0.26,420,380,false,,Authorized Recycler
2025-01-03,Hostel A,Other,4.6,420,380,false,,Recycling
2025-01-03,Hostel B,Food,31.31,408,348,false,,Composting
2025-01-03,Hostel B,Plastic,8.75,408,348,false,,Recycling
2025-01-03,Hostel B,Paper,3.74,408,348,false,,Recycling
2025-01-03,Hostel B,Glass,1.72,408,348,false,,Recycling
2025-01-03,Hostel B,Metal,0.97,408,348,false,,Recycling
2025-01-03,Hostel B,E-Waste,0.76,408,348,false,,Authorized Recycler
2025-01-03,Hostel B,Other,3.75,408,348,false,,Recycling
2025-01-03,Food Court,Food,45.98,589,520,false,,Composting
2025-01-03,Food Court,Plastic,13.62,589,520,false,,Recycling
2025-01-03,Food Court,Paper,6.76,589,520,false,,Recycling
2025-01-03,Food Court,Glass,3.5,589,520,false,,Recycling
2025-01-03,Food Court,Metal,1.42,589,520,false,,Recycling
2025-01-03,Food Court,E-Waste,0.2,589,520,false,,Authorized Recycler
2025-01-03,Food Court,Other,5.15,589,520,false,,Recycling
2025-01-03,Academic Block,Food,4.69,1290,1111,false,,Composting
2025-01-03,Academic Block,Plastic,6.71,1290,1111,false,,Recycling
2025-01-03,Academic Block,Paper,14.1,1290,1111,false,,Recycling
2025-01-03,Academic Block,Glass,1.09,1290,1111,false,,Recycling
2025-01-03,Academic Block,Metal,0.93,1290,1111,false,,Recycling
2025-01-03,Academic Block,E-Waste,1.12,1290,1111,false,,Authorized Recycler
2025-01-03,Academic Block,Other,4.69,1290,1111,false,,Recycling
2025-01-03,Administration,Food,3.08,140,121,false,,Composting
2025-01-03,Administration,Plastic,2.65,140,121,false,,Recycling
2025-01-03,Administration,Paper,10.61,140,121,false,,Recycling
2025-01-03,Administration,Glass,0.54,140,121,false,,Recycling
2025-01-03,Administration,Metal,0.82,140,121,false,,Recycling
2025-01-03,Administration,E-Waste,0.78,140,121,false,,Authorized Recycler
2025-01-03,Administration,Other,2.7,140,121,false,,Recycling
2025-01-04,Main Canteen,Food,41.67,626,561,false,,Composting
2025-01-04,Main Canteen,Plastic,7.96,626,561,false,,Recycling
2025-01-04,Main Canteen,Paper,6.64,626,561,false,,Recycling
2025-01-04,Main Canteen,Glass,2.21,626,561,false,,Recycling
2025-01-04,Main Canteen,Metal,1.7,626,561,false,,Recycling
2025-01-04,Main Canteen,E-Waste,0.35,626,561,false,,Authorized Recycler
2025-01-04,Main Canteen,Other,4.41,626,561,false,,Recycling
2025-01-04,Hostel A,Food,24.16,362,353,false,,Composting
2025-01-04,Hostel A,Plastic,7.51,362,353,false,,Recycling
2025-01-04,Hostel A,Paper,3.81,362,353,false,,Recycling
2025-01-04,Hostel A,Glass,1.5,362,353,false,,Recycling
2025-01-04,Hostel A,Metal,0.65,362,353,false,,Recycling
2025-01-04,Hostel A,E-Waste,0.19,362,353,false,,Authorized Recycler
2025-01-04,Hostel A,Other,3.39,362,353,false,,Recycling
2025-01-04,Hostel B,Food,22.21,308,303,false,,Composting
2025-01-04,Hostel B,Plastic,5.71,308,303,false,,Recycling
2025-01-04,Hostel B,Paper,2.66,308,303,false,,Recycling
2025-01-04,Hostel B,Glass,1.69,308,303,false,,Recycling
2025-01-04,Hostel B,Metal,0.65,308,303,false,,Recycling
2025-01-04,Hostel B,E-Waste,0.23,308,303,false,,Authorized Recycler
2025-01-04,Hostel B,Other,3.46,308,303,false,,Recycling
2025-01-04,Food Court,Food,27.75,447,462,false,,Composting
2025-01-04,Food Court,Plastic,10.66,447,462,false,,Recycling
2025-01-04,Food Court,Paper,4.98,447,462,false,,Recycling
2025-01-04,Food Court,Glass,2.82,447,462,false,,Recycling
2025-01-04,Food Court,Metal,1.02,447,462,false,,Recycling
2025-01-04,Food Court,E-Waste,0.15,447,462,false,,Authorized Recycler
2025-01-04,Food Court,Other,3.32,447,462,false,,Recycling
2025-01-04,Academic Block,Food,4.24,959,952,false,,Composting
2025-01-04,Academic Block,Plastic,3.87,959,952,false,,Recycling
2025-01-04,Academic Block,Paper,11.7,959,952,false,,Recycling
2025-01-04,Academic Block,Glass,0.7,959,952,false,,Recycling
2025-01-04,Academic Block,Metal,0.72,959,952,false,,Recycling
2025-01-04,Academic Block,E-Waste,0.87,959,952,false,,Authorized Recycler
2025-01-04,Academic Block,Other,4.28,959,952,false,,Recycling
2025-01-04,Administration,Food,2.42,112,103,false,,Composting
2025-01-04,Administration,Plastic,2.12,112,103,false,,Recycling
2025-01-04,Administration,Paper,8.03,112,103,false,,Recycling
2025-01-04,Administration,Glass,0.36,112,103,false,,Recycling
2025-01-04,Administration,Metal,0.62,112,103,false,,Recycling
2025-01-04,Administration,E-Waste,0.58,112,103,false,,Authorized Recycler
2025-01-04,Administration,Other,2.24,112,103,false,,Recycling
2025-01-05,Main Canteen,Food,45.31,651,672,false,,Composting
2025-01-05,Main Canteen,Plastic,9.02,651,672,false,,Recycling
2025-01-05,Main Canteen,Paper,6.19,651,672,false,,Recycling
2025-01-05,Main Canteen,Glass,2.15,651,672,false,,Recycling
2025-01-05,Main Canteen,Metal,1.61,651,672,false,,Recycling
2025-01-05,Main Canteen,E-Waste,0.42,651,672,false,,Authorized Recycler
2025-01-05,Main Canteen,Other,4.26,651,672,false,,Recycling
2025-01-05,Hostel A,Food,50.56,337,353,false,,Composting
2025-01-05,Hostel A,Plastic,6.51,337,353,false,,Recycling
2025-01-05,Hostel A,Paper,4.17,337,353,false,,Recycling
2025-01-05,Hostel A,Glass,1.44,337,353,false,,Recycling
2025-01-05,Hostel A,Metal,0.69,337,353,false,,Recycling
2025-01-05,Hostel A,E-Waste,0.23,337,353,false,,Authorized Recycler
2025-01-05,Hostel A,Other,3.08,337,353,false,,Recycling
2025-01-05,Hostel B,Food,19.41,327,306,false,,Composting
2025-01-05,Hostel B,Plastic,5.15,327,306,false,,Recycling
2025-01-05,Hostel B,Paper,2.79,327,306,false,,Recycling
2025-01-05,Hostel B,Glass,1.46,327,306,false,,Recycling
2025-01-05,Hostel B,Metal,0.87,327,306,false,,Recycling
2025-01-05,Hostel B,E-Waste,0.2,327,306,false,,Authorized Recycler
2025-01-05,Hostel B,Other,2.88,327,306,false,,Recycling
2025-01-05,Food Court,Food,30.86,476,490,false,,Composting
2025-01-05,Food Court,Plastic,10.93,476,490,false,,Recycling
2025-01-05,Food Court,Paper,5.12,476,490,false,,Recycling
2025-01-05,Food Court,Glass,2.62,476,490,false,,Recycling
2025-01-05,Food Court,Metal,1.26,476,490,false,,Recycling
2025-01-05,Food Court,E-Waste,0.15,476,490,false,,Authorized Recycler
2025-01-05,Food Court,Other,4.18,476,490,false,,Recycling
2025-01-05,Academic Block,Food,3.28,844,748,false,,Composting
2025-01-05,Academic Block,Plastic,4.29,844,748,false,,Recycling
2025-01-05,Academic Block,Paper,10.44,844,748,false,,Recycling
2025-01-05,Academic Block,Glass,0.82,844,748,false,,Recycling
2025-01-05,Academic Block,Metal,0.82,844,748,false,,Recycling
2025-01-05,Academic Block,E-Waste,0.84,844,748,false,,Authorized Recycler
2025-01-05,Academic Block,Other,3.26,844,748,false,,Recycling
2025-01-05,Administration,Food,2.47,114,107,false,,Composting
2025-01-05,Administration,Plastic,2.05,114,107,false,,Recycling
2025-01-05,Administration,Paper,8.66,114,107,false,,Recycling
2025-01-05,Administration,Glass,0.37,114,107,false,,Recycling
2025-01-05,Administration,Metal,0.61,114,107,false,,Recycling
2025-01-05,Administration,E-Waste,0.59,114,107,false,,Authorized Recycler
2025-01-05,Administration,Other,2.29,114,107,false,,Recycling
2025-01-06,Main Canteen,Food,49.91,892,788,false,,Composting
2025-01-06,Main Canteen,Plastic,11.73,892,788,false,,Recycling
2025-01-06,Main Canteen,Paper,7.39,892,788,false,,Recycling
2025-01-06,Main Canteen,Glass,3.09,892,788,false,,Recycling
2025-01-06,Main Canteen,Metal,1.93,892,788,false,,Recycling
2025-01-06,Main Canteen,E-Waste,0.46,892,788,false,,Authorized Recycler
2025-01-06,Main Canteen,Other,6.91,892,788,false,,Recycling
2025-01-06,Hostel A,Food,32.56,468,453,false,,Composting
2025-01-06,Hostel A,Plastic,9.6,468,453,false,,Recycling
2025-01-06,Hostel A,Paper,5.67,468,453,false,,Recycling
2025-01-06,Hostel A,Glass,1.82,468,453,false,,Recycling
2025-01-06,Hostel A,Metal,0.88,468,453,false,,Recycling
2025-01-06,Hostel A,E-Waste,0.27,468,453,false,,Authorized Recycler
2025-01-06,Hostel A,Other,4.41,468,453,false,,Recycling
2025-01-06,Hostel B,Food,31.48,416,385,false,,Composting
2025-01-06,Hostel B,Plastic,9.24,416,385,false,,Recycling
2025-01-06,Hostel B,Paper,3.6,416,385,false,,Recycling
2025-01-06,Hostel B,Glass,1.93,416,385,false,,Recycling
2025-01-06,Hostel B,Metal,0.87,416,385,false,,Recycling
2025-01-06,Hostel B,E-Waste,0.3,416,385,false,,Authorized Recycler
2025-01-06,Hostel B,Other,4.55,416,385,false,,Recycling
2025-01-06,Food Court,Food,44.37,583,530,false,,Composting
2025-01-06,Food Court,Plastic,17.07,583,530,false,,Recycling
2025-01-06,Food Court,Paper,5.39,583,530,false,,Recycling
2025-01-06,Food Court,Glass,4.03,583,530,false,,Recycling
2025-01-06,Food Court,Metal,4.61,583,530,false,,Recycling
2025-01-06,Food Court,E-Waste,0.21,583,530,false,,Authorized Recycler
2025-01-06,Food Court,Other,5.31,583,530,false,,Recycling
2025-01-06,Academic Block,Food,5.57,1181,1180,false,,Composting
2025-01-06,Academic Block,Plastic,5.95,1181,1180,false,,Recycling
2025-01-06,Academic Block,Paper,13.95,1181,1180,false,,Recycling
2025-01-06,Academic Block,Glass,0.9,1181,1180,false,,Recycling
2025-01-06,Academic Block,Metal,0.99,1181,1180,false,,Recycling
2025-01-06,Academic Block,E-Waste,1.21,1181,1180,false,,Authorized Recycler
2025-01-06,Academic Block,Other,5.56,1181,1180,false,,Recycling
2025-01-06,Administration,Food,3.38,161,142,false,,Composting
2025-01-06,Administration,Plastic,2.87,161,142,false,,Recycling
2025-01-06,Administration,Paper,9.66,161,142,false,,Recycling
2025-01-06,Administration,Glass,0.57,161,142,false,,Recycling
2025-01-06,Administration,Metal,0.91,161,142,false,,Recycling
2025-01-06,Administration,E-Waste,0.92,161,142,false,,Authorized Recycler
2025-01-06,Administration,Other,3.43,161,142,false,,Recycling
2025-01-07,Main Canteen,Food,49.6,963,866,false,,Composting
2025-01-07,Main Canteen,Plastic,11.36,963,866,false,,Recycling
2025-01-07,Main Canteen,Paper,8.61,963,866,false,,Recycling
2025-01-07,Main Canteen,Glass,2.75,963,866,false,,Recycling
2025-01-07,Main Canteen,Metal,1.9,963,866,false,,Recycling
2025-01-07,Main Canteen,E-Waste,0.52,963,866,false,,Authorized Recycler
2025-01-07,Main Canteen,Other,5.96,963,866,false,,Recycling
2025-01-07,Hostel A,Food,34.27,435,431,false,,Composting
2025-01-07,Hostel A,Plastic,8.41,435,431,false,,Recycling
2025-01-07,Hostel A,Paper,5.22,435,431,false,,Recycling
2025-01-07,Hostel A,Glass,1.74,435,431,false,,Recycling
2025-01-07,Hostel A,Metal,1.14,435,431,false,,Recycling
2025-01-07,Hostel A,E-Waste,0.31,435,431,false,,Authorized Recycler
2025-01-07,Hostel A,Other,3.71,435,431,false,,Recycling
2025-01-07,Hostel B,Food,28.75,442,401,false,,Composting
2025-01-07,Hostel B,Plastic,8.95,442,401,false,,Recycling
2025-01-07,Hostel B,Paper,3.77,442,401,false,,Recycling
2025-01-07,Hostel B,Glass,2.23,442,401,false,,Recycling
2025-01-07,Hostel B,Metal,0.94,442,401,false,,Recycling
2025-01-07,Hostel B,E-Waste,0.31,442,401,false,,Authorized Recycler
2025-01-07,Hostel B,Other,4.4,442,401,false,,Recycling
2025-01-07,Food Court,Food,35.94,625,539,false,,Composting
2025-01-07,Food Court,Plastic,16.22,625,539,false,,Recycling
2025-01-07,Food Court,Paper,6.42,625,539,false,,Recycling
2025-01-07,Food Court,Glass,3.69,625,539,false,,Recycling
2025-01-07,Food Court,Metal,1.29,625,539,false,,Recycling
2025-01-07,Food Court,E-Waste,0.2,625,539,false,,Authorized Recycler
2025-01-07,Food Court,Other,4.56,625,539,false,,Recycling
2025-01-07,Academic Block,Food,4.61,1282,1162,false,,Composting
2025-01-07,Academic Block,Plastic,5.79,1282,1162,false,,Recycling
2025-01-07,Academic Block,Paper,15.55,1282,1162,false,,Recycling
2025-01-07,Academic Block,Glass,1,1282,1162,false,,Recycling
2025-01-07,Academic Block,Metal,0.88,1282,1162,false,,Recycling
2025-01-07,Academic Block,E-Waste,1.06,1282,1162,false,,Authorized Recycler
2025-01-07,Academic Block,Other,4.99,1282,1162,false,,Recycling
2025-01-07,Administration,Food,3.45,154,159,false,,Composting
2025-01-07,Administration,Plastic,3.1,154,159,false,,Recycling
2025-01-07,Administration,Paper,10.05,154,159,false,,Recycling
2025-01-07,Administration,Glass,0.56,154,159,false,,Recycling
2025-01-07,Administration,Metal,0.72,154,159,false,,Recycling
2025-01-07,Administration,E-Waste,0.89,154,159,false,,Authorized Recycler
2025-01-07,Administration,Other,2.63,154,159,false,,Recycling
2025-01-08,Main Canteen,Food,48.69,892,928,false,,Composting
2025-01-08,Main Canteen,Plastic,13.68,892,928,false,,Recycling
2025-01-08,Main Canteen,Paper,8.96,892,928,false,,Recycling
2025-01-08,Main Canteen,Glass,3.07,892,928,false,,Recycling
2025-01-08,Main Canteen,Metal,2.19,892,928,false,,Recycling
2025-01-08,Main Canteen,E-Waste,0.54,892,928,false,,Authorized Recycler
2025-01-08,Main Canteen,Other,6.13,892,928,false,,Recycling
2025-01-08,Hostel A,Food,28.85,483,426,false,,Composting
2025-01-08,Hostel A,Plastic,8.87,483,426,false,,Recycling
2025-01-08,Hostel A,Paper,5.51,483,426,false,,Recycling
2025-01-08,Hostel A,Glass,4.58,483,426,false,,Recycling
2025-01-08,Hostel A,Metal,0.9,483,426,false,,Recycling
2025-01-08,Hostel A,E-Waste,0.27,483,426,false,,Authorized Recycler
2025-01-08,Hostel A,Other,3.54,483,426,false,,Recycling
2025-01-08,Hostel B,Food,31.14,437,440,false,,Composting
2025-01-08,Hostel B,Plastic,7.23,437,440,false,,Recycling
2025-01-08,Hostel B,Paper,4.43,437,440,false,,Recycling
2025-01-08,Hostel B,Glass,1.74,437,440,false,,Recycling
2025-01-08,Hostel B,Metal,1.02,437,440,false,,Recycling
2025-01-08,Hostel B,E-Waste,0.32,437,440,false,,Authorized Recycler
2025-01-08,Hostel B,Other,3.59,437,440,false,,Recycling
2025-01-08,Food Court,Food,41.4,608,598,false,,Composting
2025-01-08,Food Court,Plastic,14.83,608,598,false,,Recycling
2025-01-08,Food Court,Paper,6.28,608,598,false,,Recycling
2025-01-08,Food Court,Glass,4.59,608,598,false,,Recycling
2025-01-08,Food Court,Metal,1.41,608,598,false,,Recycling
2025-01-08,Food Court,E-Waste,0.23,608,598,false,,Authorized Recycler
2025-01-08,Food Court,Other,4.42,608,598,false,,Recycling
2025-01-08,Academic Block,Food,4.3,1296,1356,false,,Composting
2025-01-08,Academic Block,Plastic,5.74,1296,1356,false,,Recycling
2025-01-08,Academic Block,Paper,16.01,1296,1356,false,,Recycling
2025-01-08,Academic Block,Glass,0.86,1296,1356,false,,Recycling
2025-01-08,Academic Block,Metal,1.16,1296,1356,false,,Recycling
2025-01-08,Academic Block,E-Waste,1.18,1296,1356,false,,Authorized Recycler
2025-01-08,Academic Block,Other,4.82,1296,1356,false,,Recycling
2025-01-08,Administration,Food,3.29,148,146,false,,Composting
2025-01-08,Administration,Plastic,2.88,148,146,false,,Recycling
2025-01-08,Administration,Paper,11.56,148,146,false,,Recycling
2025-01-08,Administration,Glass,0.48,148,146,false,,Recycling
2025-01-08,Administration,Metal,0.76,148,146,false,,Recycling
2025-01-08,Administration,E-Waste,0.92,148,146,false,,Authorized Recycler
2025-01-08,Administration,Other,3.02,148,146,false,,Recycling
2025-01-09,Main Canteen,Food,59.09,918,881,false,,Composting
2025-01-09,Main Canteen,Plastic,12.11,918,881,false,,Recycling
2025-01-09,Main Canteen,Paper,8.3,918,881,false,,Recycling
2025-01-09,Main Canteen,Glass,3.09,918,881,false,,Recycling
2025-01-09,Main Canteen,Metal,2.15,918,881,false,,Recycling
2025-01-09,Main Canteen,E-Waste,0.51,918,881,false,,Authorized Recycler
2025-01-09,Main Canteen,Other,6.69,918,881,false,,Recycling
2025-01-09,Hostel A,Food,33.25,448,453,false,,Composting
2025-01-09,Hostel A,Plastic,10.18,448,453,false,,Recycling
2025-01-09,Hostel A,Paper,4.47,448,453,false,,Recycling
2025-01-09,Hostel A,Glass,2.18,448,453,false,,Recycling
2025-01-09,Hostel A,Metal,0.87,448,453,false,,Recycling
2025-01-09,Hostel A,E-Waste,0.35,448,453,false,,Authorized Recycler
2025-01-09,Hostel A,Other,4.26,448,453,false,,Recycling
2025-01-09,Hostel B,Food,27.22,429,391,false,,Composting
2025-01-09,Hostel B,Plastic,9.14,429,391,false,,Recycling
2025-01-09,Hostel B,Paper,4.65,429,391,false,,Recycling
2025-01-09,Hostel B,Glass,2.12,429,391,false,,Recycling
2025-01-09,Hostel B,Metal,1.11,429,391,false,,Recycling
2025-01-09,Hostel B,E-Waste,0.3,429,391,false,,Authorized Recycler
2025-01-09,Hostel B,Other,3.62,429,391,false,,Recycling
2025-01-09,Food Court,Food,38.64,623,578,false,,Composting
2025-01-09,Food Court,Plastic,13.74,623,578,false,,Recycling
2025-01-09,Food Court,Paper,6.9,623,578,false,,Recycling
2025-01-09,Food Court,Glass,3.46,623,578,false,,Recycling
2025-01-09,Food Court,Metal,1.34,623,578,false,,Recycling
2025-01-09,Food Court,E-Waste,0.22,623,578,false,,Authorized Recycler
2025-01-09,Food Court,Other,5.48,623,578,false,,Recycling
2025-01-09,Academic Block,Food,5.37,1150,1090,false,,Composting
2025-01-09,Academic Block,Plastic,6.94,1150,1090,false,,Recycling
2025-01-09,Academic Block,Paper,15.94,1150,1090,false,,Recycling
2025-01-09,Academic Block,Glass,1.13,1150,1090,false,,Recycling
2025-01-09,Academic Block,Metal,1.15,1150,1090,false,,Recycling
2025-01-09,Academic Block,E-Waste,1.21,1150,1090,false,,Authorized Recycler
2025-01-09,Academic Block,Other,12.07,1150,1090,false,,Recycling
2025-01-09,Administration,Food,3.16,146,131,false,,Composting
2025-01-09,Administration,Plastic,3.15,146,131,false,,Recycling
2025-01-09,Administration,Paper,11.43,146,131,false,,Recycling
2025-01-09,Administration,Glass,0.45,146,131,false,,Recycling
2025-01-09,Administration,Metal,0.8,146,131,false,,Recycling
2025-01-09,Administration,E-Waste,0.81,146,131,false,,Authorized Recycler
2025-01-09,Administration,Other,2.6,146,131,false,,Recycling
2025-01-10,Main Canteen,Food,54.29,952,843,false,,Composting
2025-01-10,Main Canteen,Plastic,12.88,952,843,false,,Recycling
2025-01-10,Main Canteen,Paper,7.2,952,843,false,,Recycling
2025-01-10,Main Canteen,Glass,3.47,952,843,false,,Recycling
2025-01-10,Main Canteen,Metal,2.01,952,843,false,,Recycling
2025-01-10,Main Canteen,E-Waste,0.52,952,843,false,,Authorized Recycler
2025-01-10,Main Canteen,Other,6.13,952,843,false,,Recycling
2025-01-10,Hostel A,Food,31.61,464,426,false,,Composting
2025-01-10,Hostel A,Plastic,8.85,464,426,false,,Recycling
2025-01-10,Hostel A,Paper,5.33,464,426,false,,Recycling
2025-01-10,Hostel A,Glass,2.05,464,426,false,,Recycling
2025-01-10,Hostel A,Metal,1.14,464,426,false,,Recycling
2025-01-10,Hostel A,E-Waste,0.33,464,426,false,,Authorized Recycler
2025-01-10,Hostel A,Other,4.24,464,426,false,,Recycling
2025-01-10,Hostel B,Food,65.11,417,362,false,,Composting
2025-01-10,Hostel B,Plastic,7.48,417,362,false,,Recycling
2025-01-10,Hostel B,Paper,4.39,417,362,false,,Recycling
2025-01-10,Hostel B,Glass,2.19,417,362,false,,Recycling
2025-01-10,Hostel B,Metal,1.06,417,362,false,,Recycling
2025-01-10,Hostel B,E-Waste,0.26,417,362,false,,Authorized Recycler
2025-01-10,Hostel B,Other,4.48,417,362,false,,Recycling
2025-01-10,Food Court,Food,35.98,634,577,false,,Composting
2025-01-10,Food Court,Plastic,15.61,634,577,false,,Recycling
2025-01-10,Food Court,Paper,5.44,634,577,false,,Recycling
2025-01-10,Food Court,Glass,4,634,577,false,,Recycling
2025-01-10,Food Court,Metal,1.44,634,577,false,,Recycling
2025-01-10,Food Court,E-Waste,0.23,634,577,false,,Authorized Recycler
2025-01-10,Food Court,Other,4.8,634,577,false,,Recycling
2025-01-10,Academic Block,Food,4.88,1176,1119,false,,Composting
2025-01-10,Academic Block,Plastic,5.31,1176,1119,false,,Recycling
2025-01-10,Academic Block,Paper,12.44,1176,1119,false,,Recycling
2025-01-10,Academic Block,Glass,1.16,1176,1119,false,,Recycling
2025-01-10,Academic Block,Metal,0.88,1176,1119,false,,Recycling
2025-01-10,Academic Block,E-Waste,1.32,1176,1119,false,,Authorized Recycler
2025-01-10,Academic Block,Other,4.32,1176,1119,false,,Recycling
2025-01-10,Administration,Food,3.33,151,132,false,,Composting
2025-01-10,Administration,Plastic,3.33,151,132,false,,Recycling
